BioSample accession no.,SourceSeq.,Strain_ID/Alias,IsolatYear,SourceCountry,Serogroup_type,ST,No. void loci
SAMN03446118,SRR1944509,KS503,2002,Bangladesh,,69,2
SAMN03446145,SRR1944510,KS504,2008,Bangladesh,,69,1
SAMN03446135,SRR1944511,KS505,2006,Bangladesh,,69,1
SAMN03446125,SRR1944512,KS506,2004,Bangladesh,,69,2
SAMN03446124,SRR1944513,KS507,2004,Bangladesh,,69,2
SAMN03446122,SRR1944514,KS508,2003,Bangladesh,,69,1
SAMN03446146,SRR1944515,KS509,2008,Bangladesh,,69,1
SAMN03446149,SRR1944516,KS510,2009,Bangladesh,,69,2
SAMN03446120,SRR1944517,KS512,2003,Bangladesh,,69,1
SAMN03446156,SRR1944518,KS513,2010,Bangladesh,,69,1
SAMN03446155,SRR1944519,KS514,2010,Bangladesh,,69,0
SAMN03446151,SRR1944520,KS515,2009,Bangladesh,,69,1
SAMN03446150,SRR1944521,KS516,2009,Bangladesh,,69,1
SAMN03446148,SRR1944522,KS517,2008,Bangladesh,,69,1
SAMN03446139,SRR1944523,KS242,2006,Bangladesh,,69,1
SAMN03446134,SRR1944524,KS248,2006,Bangladesh,,69,1
SAMN03446152,SRR1944525,KS39,2009,Bangladesh,,69,1
SAMN03446147,SRR1944526,KS511,2008,Bangladesh,,69,1
SAMN00621720,SRR221648,HC-46A1,,,,69,0
SAMN00622023,SRR227304,HC-41A1,2010,Haiti,,69,0
SAMN00622024,SRR227305,HC-50A1,,,,740,30
SAMN00622025,SRR227306,HC-57A2,,,,69,0
SAMN00622026,SRR227307,CP1040,2004,Zambia,O1,515,1
SAMN00622027,SRR227309,CP1041(14),2004,Zambia,O1,515,2
SAMN00622028,SRR227311,CP1038(11),2003,Zimbabwe,O1,69,0
SAMN00622031,SRR227316,HC-57A1,,,,740,28
SAMN00622033,SRR227318,CP1030(3),2008,Mexico,O1,69,0
SAMN00622034,SRR227319,CP1037(10),2004,Mexico,O1,173,11
SAMN00622037,SRR227325,HC-39A1,2010,Haiti,,69,0
SAMN00622038,SRR227326,HC-42A1,2010,Haiti,,69,0
SAMN00622039,SRR227327,HC-47A1,2010,Haiti,,69,0
SAMN00622040,SRR227328,HC-56A1,,,,740,28
SAMN00622041,SRR227329,HC-56A2,,,,69,0
SAMN00622042,SRR227330,HC-51A1,2010,Haiti,Non-O1/O139 ,740,29
SAMN00622043,SRR227331,HC-52A1,,,,740,29
SAMN00622044,SRR227332,HC-55A1,,,,740,28
SAMN00622045,SRR227333,HC-81A2,,,,69,0
SAMN00622046,SRR227334,CP1047,,,,69,1
SAMN00622047,SRR227335,CP1050,2010,Bangladesh,O1,69,3
SAMN00622048,SRR227336,CP1044(17),1991,Peru,O1,69,1
SAMN00622384,SRR233066,HC-20A2,,,,69,1
SAMN04196970,SRR2738124,ZJ07019,2007,China,O1_Ogawa,75,4
SAMN04196971,SRR2738125,ZJ0911,2009,China,O1_Ogawa,75,7
SAMN04196980,SRR2738126,ZJ11010,2011,China,O1_Ogawa,170,15
SAMN04196981,SRR2738127,ZJ1339,2005,China,O1_Inaba,169,10
SAMN04196982,SRR2738128,ZJ0918,2009,China,O1_Ogawa,169,10
SAMN04196972,SRR2738129,ZJ0917,2009,China,O1_Ogawa,75,5
SAMN04196973,SRR2738130,ZJ0921,2009,China,O1_Ogawa,75,6
SAMN04196974,SRR2738131,ZJ0926,2009,China,O1_Ogawa,75,6
SAMN04196975,SRR2738132,ZJ0937,2009,China,O1_Ogawa,75,7
SAMN04196976,SRR2738133,ZJ0938,2009,China,O1_Ogawa,75,8
SAMN04196977,SRR2738134,ZJ0946,2009,China,O1_Inaba,75,6
SAMN04196978,SRR2738135,ZJ10014,2010,China,O1_Ogawa,75,7
SAMN04196979,SRR2738136,ZJ1336,2005,China,O1_Inaba,75,4
SAMN03996319,SRR2814834,ATCC11629,,,,73,3
SAMN03996252,SRR2815081,FDAARGOS_102,1963,India,,68,0
SAMN04285978,SRR3020408,ICDC-VC48,2005,China,,69,45
SAMN04285981,SRR3020411,ICDC-VC2148,2008,China,,69,0
SAMN04285983,SRR3020413,ICDC-VC2540,1997,China,,69,4
SAMN04285984,SRR3020414,ICDC-VC4273,2008,China,,69,3
SAMN04285985,SRR3020415,ICDC-VC4239,2007,China,,69,3
SAMN04285986,SRR3020416,ICDC-VC2035,2006,China,,69,2
SAMN04285987,SRR3020417,ICDC-VC2034,2005,China,,69,3
SAMN04285988,SRR3020418,ICDC-VC1449,2006,China,,69,2
SAMN04285989,SRR3020419,ICDC-VC1445,2003,China,,,11
SAMN04285990,SRR3020420,ICDC-VC1447,2005,China,,69,11
SAMN04285993,SRR3020423,ICDC-VC2370,2007,China,,69,1
SAMN04285994,SRR3020424,ICDC-VC1123,2001,China,,69,3
SAMN04285995,SRR3020425,ICDC-VC995,2001,China,,69,7
SAMN04285998,SRR3020428,ICDC-VC709,2004,China,,69,8
SAMN04285999,SRR3020429,ICDC-VC1215,1998,China,,69,15
SAMN04286000,SRR3020430,ICDC-VC2071,2005,China,,69,3
SAMN04286001,SRR3020431,ICDC-VC1242,1999,China,,69,6
SAMN04286005,SRR3020435,ICDC-VC4268,2008,China,,69,1
SAMN04286007,SRR3020437,ICDC-VC1999,2001,China,,69,1
SAMN04286008,SRR3020438,ICDC-VC1662,2006,China,,69,1
SAMN04286010,SRR3020440,ICDC-VC381,2001,China,,69,6
SAMN04286011,SRR3020441,ICDC-VC2327,1998,China,,69,1
SAMN04286014,SRR3020444,ICDC-VC1808,2004,China,,69,40
SAMN04286015,SRR3020445,ICDC-VC1825,2006,China,,69,1
SAMN04286016,SRR3020446,ICDC-VC2090,2007,China,,69,2
SAMN04286017,SRR3020447,ICDC-VC1737,2006,China,,69,0
SAMN04286018,SRR3020448,ICDC-VC2401,2009,China,,69,0
SAMN04286019,SRR3020449,ICDC-VC2368,1999,China,,69,8
SAMN04286022,SRR3020452,ICDC-VC1464,2006,China,,69,2
SAMN04286025,SRR3020455,ICDC-VC1194,1997,China,,69,7
SAMN04286026,SRR3020456,ICDC-VC2360,1997,China,,69,6
SAMN04286028,SRR3020458,ICDC-VC2654,1995,China,,69,19
SAMN04286031,SRR3020461,ICDC-VC3777,1993,China,,69,11
SAMN04286032,SRR3020462,ICDC-VC968,2001,China,,69,4
SAMN04286033,SRR3020463,ICDC-VC935,1997,China,,69,7
SAMN04286034,SRR3020464,ICDC-VC909,2002,China,,69,6
SAMN04286035,SRR3020465,ICDC-VC1995,2000,China,,69,2
SAMN04286036,SRR3020466,ICDC-VC2088,2006,China,,69,2
SAMN04286037,SRR3020467,ICDC-VC2363,1998,China,,69,3
SAMN04286038,SRR3020468,ICDC-VC825,2003,China,,69,5
SAMN04286039,SRR3020469,ICDC-VC1420,2003,China,,69,3
SAMN04286040,SRR3020470,ICDC-VC1785,2003,China,,69,2
SAMN04286042,SRR3020472,ICDC-VC1232,1999,China,,69,12
SAMN04286043,SRR3020473,ICDC-VC1011,2002,China,,69,4
SAMN04286044,SRR3020474,ICDC-VC1275,2000,China,,69,5
SAMN04286045,SRR3020475,ICDC-VC2648,1993,China,,69,10
SAMN04286046,SRR3020476,ICDC-VC1191,1996,China,,69,3
SAMN04286047,SRR3020477,ICDC-VC2656,1996,China,,69,4
SAMN04286048,SRR3020478,ICDC-VC911,2001,China,,69,7
SAMN04286050,SRR3020480,ICDC-VC1273,2000,China,,69,17
SAMN04286051,SRR3020481,ICDC-VC1205,1998,China,,69,9
SAMN04286052,SRR3020482,ICDC-VC922,2002,China,,69,6
SAMN04286053,SRR3020483,ICDC-VC990,2001,China,,69,4
SAMN04286056,SRR3020486,ICDC-VC4778,1993,China,,69,6
SAMN04286057,SRR3020487,ICDC-VC4779,1994,China,,,2
SAMN04286058,SRR3020488,ICDC-VC4782,1997,China,,69,1
SAMN04286059,SRR3020489,ICDC-VC4783,1998,China,,69,0
SAMN04285977,SRR3020490,ICDC-VC368,2000,China,,69,7
SAMN04285979,SRR3020492,ICDC-VC496,2005,China,,69,9
SAMN04285982,SRR3020495,ICDC-VC853,2003,China,,69,71
SAMN04285991,SRR3020504,ICDC-VC359,1998,China,,69,11
SAMN04285992,SRR3020505,ICDC-VC636,2006,China,,69,12
SAMN04285997,SRR3020510,ICDC-VC222,2005,China,,69,8
SAMN04286002,SRR3020515,ICDC-VC427,2003,China,,69,17
SAMN04286003,SRR3020516,ICDC-VC125,2005,China,,69,15
SAMN04286004,SRR3020517,ICDC-VC473,2005,China,,69,13
SAMN04286006,SRR3020519,ICDC-VC527,2005,China,,69,14
SAMN04286009,SRR3020522,ICDC-VC449,2004,China,,69,16
SAMN04286012,SRR3020525,ICDC-VC206,2001,China,,69,18
SAMN04286020,SRR3020533,ICDC-VC364,1999,China,,69,12
SAMN04286021,SRR3020534,ICDC-VC207,2002,China,,69,11
SAMN04286023,SRR3020536,ICDC-VC531,2005,China,,69,15
SAMN04286024,SRR3020537,ICDC-VC318,2004,China,,69,20
SAMN04286027,SRR3020540,ICDC-VC423,2002,China,,69,13
SAMN04286029,SRR3020542,ICDC-VC216,2004,China,,69,12
SAMN04286030,SRR3020543,ICDC-VC211,2003,China,,69,11
SAMN00632094,SRR308665,VC-1,2010,Nepal,O1_Ogawa,69,2
SAMN00632095,SRR308690,VC-2,2010,Nepal,O1_Ogawa,69,0
SAMN00632097,SRR308691,VC-3,2010,Nepal,O1_Ogawa,69,2
SAMN00632098,SRR308692,VC-4,2010,Nepal,O1_Ogawa,69,1
SAMN00632099,SRR308693,VC-5,2010,Nepal,O1_Ogawa,69,0
SAMN00632100,SRR308703,VC-6,2010,Nepal,O1_Ogawa,69,0
SAMN00632101,SRR308704,VC-7,2010,Nepal,O1_Ogawa,69,0
SAMN00632102,SRR308705,VC-8,2010,Nepal,O1_Ogawa,69,1
SAMN00632103,SRR308706,VC-9,2010,Nepal,O1_Ogawa,69,0
SAMN00632104,SRR308707,VC-10,2010,Nepal,O1_Ogawa,69,1
SAMN00632105,SRR308708,VC-11,2010,Nepal,O1_Ogawa,69,1
SAMN00632106,SRR308709,VC-12,2010,Nepal,O1_Ogawa,69,0
SAMN00632107,SRR308713,VC-13,2010,Nepal,O1_Ogawa,69,1
SAMN00632108,SRR308715,VC-14,2010,Nepal,O1_Ogawa,69,0
SAMN00632109,SRR308716,VC-15,2010,Nepal,O1_Ogawa,69,0
SAMN00632110,SRR308717,VC-16,2010,Nepal,O1_Ogawa,69,1
SAMN00632111,SRR308720,VC-17,2010,Nepal,O1_Ogawa,69,1
SAMN00632112,SRR308721,VC-18,2010,Nepal,O1_Ogawa,69,0
SAMN00632113,SRR308722,VC-19,2010,Nepal,O1_Ogawa,69,0
SAMN00632114,SRR308723,VC-20,2010,Nepal,O1_Ogawa,69,0
SAMN00632115,SRR308724,VC-21,2010,Nepal,O1_Ogawa,69,0
SAMN00632116,SRR308725,VC-22,2010,Nepal,O1_Ogawa,69,0
SAMN00632117,SRR308726,VC-25,2010,Nepal,O1_Ogawa,69,0
SAMN00632118,SRR308727,VC-26,2010,Nepal,O1_Ogawa,69,0
SAMN04421934,SRR3109669,,2007,Bangladesh,O1_Inaba,69,1
SAMN00715107,SRR341227,HC-59A1,,,,740,28
SAMN00722741,SRR346331,HE-40,2010,Haiti,Non-O1/O139 ,733,21
SAMN00722963,SRR346405,HE-46,2010,Haiti,Non-O1/O139 ,733,21
SAMN00717275,SRR346406,HC-61A2,,,,740,28
SAMN00722972,SRR346408,HC-55C2,,,,740,28
SAMN00722973,SRR346409,HC-17A1,,,,69,1
SAMN00722981,SRR346410,HC-77A1,,,,69,0
SAMN04943476,SRR3476483,ICDC-1307,1998,China,O1,69,5
SAMN02744003,SRR3493866,ATCC14035,,,O1,73,5
SAMN00728007,SRR350020,HC-41B1,,,,736,60
SAMN00736141,SRR350623,CP1033(6),2000,Mexico,,69,2
SAMN00736148,SRR350630,CP1035(8),2004,Mexico,O1,737,30
SAMN05590416,SRR4039806,2479-86,1986,USA,O1,731,13
SAMN05590417,SRR4039807,1496-86,1986,USA,O1,75,0
SAMN05590418,SRR4039808,2497-86,1987,USA,O1,75,0
SAMN05590419,SRR4039809,2523-87,1987,USA,O1,731,13
SAMN05590420,SRR4039810,3223-74,1974,USA (Guan),O1,3,21
SAMN05590422,SRR4039812,1074-78,1978,Brazil,O1,48,40
SAMN05590423,SRR4039813,2633-78,1978,Brazil,O1,738,44
SAMN05590404,SRR4039814,MZO-2,2001,Bangladesh,O14,28,17
SAMN05590424,SRR4039815,C6706,1991,Peru,O1_Inaba,69,0
SAMN05590426,SRR4039817,TP,2000,USA,,,58
SAMN05590436,SRR4039818,V52,1968,Sudan,O37,68,3
SAMN05590438,SRR4039820,HE46,2011,Haiti,,,36
SAMN05590407,SRR4039822,VC48,1981,USA,Non-O1/O139 ,735,19
SAMN05590410,SRR4039825,2559-78,1978,USA,O1,75,0
SAMN05590411,SRR4039826,2631-78,1978,USA,O1,738,45
SAMN05590413,SRR4039827,2512-86,1986,USA,O1,75,2
SAMN04508115,SRR4097310,ICDC-VC3246,,China,,75,39
SAMN04508116,SRR4097317,ICDC-VC319,,China,,163,58
SAMN04508117,SRR4097318,ICDC-VC342,,,,163,60
SAMN04875560,SRR4272622,FDAARGOS_223,,USA,O1_Inaba,69,0
SAMN05924902,SRR4432994,,2001,Bangladesh,O1_Ogawa,69,2
SAMN05924903,SRR4432995,,2001,Bangladesh,O1_Inaba,69,1
SAMN05924900,SRR4432996,,2001,Bangladesh,O1_Ogawa,69,0
SAMN05924901,SRR4432997,,2001,Bangladesh,O1_Inaba,69,0
SAMN05924906,SRR4432998,,2009,USA,Non-O1/O139 ,,66
SAMN05924907,SRR4432999,,2009,USA,Non-O1/O139 ,,32
SAMN05924904,SRR4433000,,2008,USA,Non-O1/O139 ,,30
SAMN05924905,SRR4433001,,2008,USA,Non-O1/O139 ,750,24
SAMN05924908,SRR4433002,,2009,USA,Non-O1/O139 ,,33
SAMN00989276,SRR491122,NHCC-008D,2010,Bangladesh,O1,743,7
SAMN00989284,SRR491132,EM-1536,2004,India,O1,69,1
SAMN00989285,SRR491134,AG-7404,1991,Bangladesh,O1,69,42
SAMN00989299,SRR491148,AG-8040,1991,Bangladesh,O1,69,1
SAMN00989301,SRR491154,EC-0051,,,O1,69,1
SAMN00989304,SRR491160,95412,1997,Mexico,O1,73,3
SAMN00989305,SRR491161,116059,1992,Brazil,O1,69,1
SAMN00989306,SRR491169,PCS-023,2010,Bangladesh,O1,69,0
SAMN00989308,SRR491171,NHCC-006C,2010,Bangladesh,O1,69,1
SAMN00989309,SRR491172,Nep-21113,2003,Nepal,O1,69,0
SAMN00989310,SRR491173,Nep-21106,2003,Nepal,O1,69,0
SAMN00989311,SRR491174,116063,1978,Brazil,O1,48,41
SAMN00989312,SRR491175,NHCC-010F,2010,Bangladesh,O1,69,0
SAMN00989314,SRR491177,EC-0027,2010,Bangladesh,O1,69,0
SAMN00989315,SRR491178,EDC-020,2010,Bangladesh,O1,69,0
SAMN00991860,SRR495447,PCS-022,1992,India,O1,69,0
SAMN00991861,SRR495601,EM-1676A,,,,,5
SAMN00991869,SRR495761,EM-1727,,,O1,69,0
SAMN00991870,SRR495764,EC-0012,2010,Bangladesh,O1,69,0
SAMN00763684,SRR500757,H1,,,,69,2
SAMN06033618,SRR5057122,N16961,1975,Bangladesh,O1_Inaba,69,0
SAMN06203887,SRR5182236,PNUSAV000043,,USA,,,59
SAMN06263790,SRR5198911,Kuwait_36,2015,Kuwait,O1_Inaba,69,0
SAMN06263788,SRR5198913,Kuwait_37,2015,Kuwait,O1_Inaba,69,0
SAMN01096559,SRR531199,,,,,69,3
SAMN01096560,SRR531231,,,,,69,0
SAMN01096561,SRR531232,,,,,69,0
SAMN01096562,SRR531233,,,,,69,0
SAMN01096563,SRR531234,,,,,73,3
SAMN01096564,SRR531235,,,,,69,1
SAMN01095804,SRR531247,,,,,69,1
SAMN07258829,SRR5808312,PNUSAV000052,,USA,,,71
SAMN07258830,SRR5808313,PNUSAV000053,,USA,,777,56
SAMN07341910,SRR5820079,PNUSAV000056,,USA,,777,56
SAMN07569239,SRR5985999,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569240,SRR5986000,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569235,SRR5986001,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569236,SRR5986002,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569237,SRR5986003,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569238,SRR5986004,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569231,SRR5986005,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569232,SRR5986006,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569233,SRR5986007,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569234,SRR5986008,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569333,SRR5986009,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569334,SRR5986010,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569331,SRR5986011,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569332,SRR5986012,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569337,SRR5986013,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569335,SRR5986014,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569336,SRR5986015,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569178,SRR5986016,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569177,SRR5986017,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569176,SRR5986018,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569175,SRR5986019,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569174,SRR5986020,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569173,SRR5986021,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569172,SRR5986022,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569171,SRR5986023,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569275,SRR5986024,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569276,SRR5986025,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569277,SRR5986026,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569278,SRR5986027,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569271,SRR5986028,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569272,SRR5986029,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569273,SRR5986030,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569274,SRR5986031,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569279,SRR5986032,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569280,SRR5986033,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569230,SRR5986034,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569229,SRR5986035,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569222,SRR5986036,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569221,SRR5986037,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569224,SRR5986038,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569223,SRR5986039,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569226,SRR5986040,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569225,SRR5986041,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569228,SRR5986042,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569227,SRR5986043,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569284,SRR5986044,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569283,SRR5986045,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569282,SRR5986046,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569281,SRR5986047,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569288,SRR5986048,,2013,Haiti,O1_Ogawa,69,1
SAMN07569287,SRR5986049,,2013,Haiti,O1_Ogawa,69,0
SAMN07569286,SRR5986050,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569285,SRR5986051,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569290,SRR5986052,,2013,Haiti,O1_Ogawa,69,0
SAMN07569289,SRR5986053,,2013,Haiti,O1_Ogawa,69,0
SAMN07569219,SRR5986054,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569220,SRR5986055,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569213,SRR5986056,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569214,SRR5986057,,2013,Bangladesh,O1_Ogawa,69,2
SAMN07569211,SRR5986058,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569212,SRR5986059,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569217,SRR5986060,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569218,SRR5986061,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569215,SRR5986062,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569216,SRR5986063,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569210,SRR5986064,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569209,SRR5986065,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569208,SRR5986066,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569207,SRR5986067,,2013,Bangladesh,O1_Ogawa,69,2
SAMN07569206,SRR5986068,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569205,SRR5986069,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569204,SRR5986070,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569203,SRR5986071,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569202,SRR5986072,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569201,SRR5986073,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569199,SRR5986074,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569200,SRR5986075,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569191,SRR5986076,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569192,SRR5986077,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569193,SRR5986078,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569194,SRR5986079,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569195,SRR5986080,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569196,SRR5986081,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569197,SRR5986082,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569198,SRR5986083,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569299,SRR5986084,,2013,Haiti,O1_Ogawa,69,0
SAMN07569300,SRR5986085,,2013,Haiti,O1_Ogawa,69,0
SAMN07569297,SRR5986086,,2013,Haiti,O1_Ogawa,69,0
SAMN07569298,SRR5986087,,2013,Haiti,O1_Ogawa,69,1
SAMN07569295,SRR5986088,,2013,Haiti,O1_Ogawa,69,1
SAMN07569296,SRR5986089,,2013,Haiti,O1_Ogawa,69,0
SAMN07569293,SRR5986090,,2013,Haiti,O1_Ogawa,69,0
SAMN07569294,SRR5986091,,2013,Haiti,O1_Ogawa,69,1
SAMN07569291,SRR5986092,,2013,Haiti,O1_Ogawa,69,0
SAMN07569292,SRR5986093,,2013,Haiti,O1_Ogawa,69,0
SAMN07569270,SRR5986094,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569269,SRR5986095,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569180,SRR5986096,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569265,SRR5986097,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569268,SRR5986098,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569267,SRR5986099,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569262,SRR5986100,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569261,SRR5986101,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569179,SRR5986102,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569263,SRR5986103,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569186,SRR5986104,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569185,SRR5986105,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569188,SRR5986106,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569187,SRR5986107,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569182,SRR5986108,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569181,SRR5986109,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569184,SRR5986110,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569183,SRR5986111,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569190,SRR5986112,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569189,SRR5986113,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569310,SRR5986114,,2013,Haiti,O1_Ogawa,69,0
SAMN07569309,SRR5986115,,2013,Haiti,O1_Ogawa,69,1
SAMN07569306,SRR5986116,,2013,Haiti,O1_Ogawa,69,1
SAMN07569305,SRR5986117,,2013,Haiti,O1_Ogawa,69,1
SAMN07569308,SRR5986118,,2013,Haiti,O1_Ogawa,69,0
SAMN07569307,SRR5986119,,2013,Haiti,O1_Ogawa,69,0
SAMN07569302,SRR5986120,,2013,Haiti,O1_Ogawa,69,1
SAMN07569301,SRR5986121,,2013,Haiti,O1_Ogawa,69,0
SAMN07569304,SRR5986122,,2013,Haiti,O1_Ogawa,69,0
SAMN07569303,SRR5986123,,2013,Haiti,O1_Ogawa,69,0
SAMN07569259,SRR5986124,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569260,SRR5986125,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569257,SRR5986126,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569258,SRR5986127,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569255,SRR5986128,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569256,SRR5986129,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569253,SRR5986130,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569254,SRR5986131,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569251,SRR5986132,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569252,SRR5986133,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569319,SRR5986134,,2011,Bangladesh,O1_Ogawa,69,0
SAMN07569320,SRR5986135,,2011,Bangladesh,O1_Ogawa,69,0
SAMN07569266,SRR5986136,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569311,SRR5986137,,2013,Haiti,O1_Ogawa,69,0
SAMN07569312,SRR5986138,,2013,Haiti,O1_Ogawa,69,0
SAMN07569313,SRR5986139,,2013,Haiti,O1_Ogawa,69,0
SAMN07569314,SRR5986140,,2013,Haiti,O1_Ogawa,69,0
SAMN07569315,SRR5986141,,2013,Haiti,O1_Ogawa,69,0
SAMN07569316,SRR5986142,,2013,Haiti,O1_Ogawa,69,0
SAMN07569317,SRR5986143,,2011,Bangladesh,O1_Ogawa,69,0
SAMN07569318,SRR5986144,,2011,Bangladesh,O1_Ogawa,69,0
SAMN07569264,SRR5986145,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569244,SRR5986146,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569243,SRR5986147,,2013,Bangladesh,O1_Ogawa,69,0
SAMN07569242,SRR5986148,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569241,SRR5986149,,2013,Bangladesh,O1_Ogawa,69,1
SAMN07569248,SRR5986150,,2013,Bangladesh,O1_Ogawa,69,0
